OTUID,Genus,Species,Katie's notes,Pete's notes,OTUID,NCBI_top_match,NCBI_percent_identity,Local_database_top_match,Local_database_percent_identity
ASV_72,,,,,ASV_72,Petrochromis famula,99.742,Petrochromis_famula_IYA7,98.507
ASV_71,Oreochromis,tanganicae,clearly distinct clade with 7 ASVs,,ASV_71,Oreochromis tanganicae,100,Oreochromis_tanganicae_JAC7,99.751
ASV_70,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_70,Telmatochromis bifrenatus,100,Telmatochromis_sp_dhonti_twiyu_LHC1,100
ASV_7,,,,,ASV_7,Cyprichromis leptosoma,100,Cyprichromis_sp_dwarf_jumbo_KFA9,100
ASV_69,,,,,ASV_69,Petrochromis sp. 'Moshi yellow',99.483,Petrochromis_sp_moshi_yellow_LCF8,99.751
ASV_689,,,,,ASV_689,Petrochromis sp. 'Kazumbe',99.065,Petrochromis_sp_kazumbae_KEB4,99.065
ASV_688,,,,,ASV_688,Petrochromis sp. 'Kazumbe',98.754,Petrochromis_sp_kazumbae_KEB4,98.754
ASV_687,Neolamprologus,brichardi,clear; 7 ASVs,,ASV_687,Neolamprologus brichardi,98.507,Neolamprologus_marunguensis_JWH4,98.507
ASV_686,,,,,ASV_686,Petrochromis sp. 'Kazumbe',96.307,Petrochromis_sp_kazumbae_KEB4,92.786
ASV_685,,,,,ASV_685,Pseudanthias dispar,100,NO MATCH,NA
ASV_683,,,,,ASV_683,Cyprichromis leptosoma,89.203,Cyprichromis_sp_dwarf_jumbo_KFA9,88.586
ASV_682,,,,,ASV_682,Lobochilotes labiatus,93.023,000000021_U07254.1_Lobochilotes_labiatus_,93.023
ASV_681,,,,,ASV_681,Tropheus brichardi,97.933,Tropheus_sp_murago_LHD9,98
ASV_680,,,,,ASV_680,Julidochromis marlieri,100,Julidochromis_regani_KFF4,100
ASV_68,,,,,ASV_68,Pseudosimochromis curvifrons,100,Pseudosimochromis_curvifrons_AYC7,99.502
ASV_679,,,,,ASV_679,Haplochromis cf. stappersii 'Malagarasi',95.467,000089667_KR010449.1_Astatotilapia_sp._'Blue_Rufiji'_,95.157
ASV_677,,,,,ASV_677,Grammatotria lemairii,97.158,Grammatotria_lemairii_JDD8,99.005
ASV_676,,,,,ASV_676,Julidochromis marlieri,99.677,Julidochromis_regani_KFF4,99.692
ASV_674,,,,,ASV_674,Cardiopharynx schoutedeni,98.708,000000010_U07243.1_Cardiopharynx_schoutedeni_,98.708
ASV_671,,,,,ASV_671,Salarias fasciatus,100,NO MATCH,NA
ASV_670,,,,,ASV_670,Xenotilapia boulengeri,95.561,Xenotilapia_sp_kilesa_Bel03,95.477
ASV_67,,,,,ASV_67,Petrochromis cf. polyodon SK-2009,100,Petrochromis_sp_moshi_yellow_LCF8,99.005
ASV_669,Julidochromis,marlieri,clear; 2 ASVs,,ASV_669,Julidochromis marlieri,99.483,Julidochromis_regani_KFF4,99.502
ASV_668,Neolamprologus,sp,"affiliated with longicaudatus and savoryi, but distinct clade of ASVs. It could be that there are no reference sequences of longicaudatus or savoryi from this part of the lake?  I am unfamiliar with the geographic distribution of these species",longicaudatus or savoryi,ASV_668,Neolamprologus longicaudatus,97.165,Neolamprologus_longicaudatus_JWI3,97.27
ASV_667,,,,,ASV_667,Cardiopharynx schoutedeni,96.899,000000010_U07243.1_Cardiopharynx_schoutedeni_,96.899
ASV_666,,,,,ASV_666,Macropharyngodon negrosensis,100,Trematocara_nigrifrons_IUE5,76.826
ASV_665,,,,,ASV_665,Xenotilapia flavipinnis,97.674,000000033_U07269.1_Xenotilapia_flavipinnis_,97.674
ASV_664,,,,,ASV_664,Petrochromis cf. polyodon SK-2009,94.947,000028660_GQ995767.1_Petrochromis_cf._polyodon_SK-2009_,94.947
ASV_663,,,,,ASV_663,Mastacembelus erythrotaenia,89.055,Bathybates_leo_ILF7,80.353
ASV_661,Neolamprologus ,savoryi,"clear, 4 ASVs",,ASV_661,Neolamprologus savoryi,99.225,000054559_JQ950366.1_Neolamprologus_savoryi_,99.225
ASV_660,Trematocara,sp,In a clade with four other ASVs and several Trematocara. Unclear what species,,ASV_660,Trematocara marginatum,98.158,Trematocara_variabile_Bel33,99.005
ASV_66,,,,,ASV_66,Pseudosimochromis marginatus,100,000054694_JQ755390.1_Pseudosimochromis_marginatus_,100
ASV_659,Bathybates,vittatus,no species ambiguity; single ASV,,ASV_659,Bathybates vittatus,99.742,Bathybates_vittatus_JDE7,99.751
ASV_658,,,,,ASV_658,Callochromis macrops,99.483,Callochromis_melanostigma_KAF4,99.502
ASV_657,,,,,ASV_657,Ophthalmotilapia heterodonta,99.225,000026836_EF679254.1_Ophthalmotilapia_heterodonta_,99.225
ASV_656,,,,,ASV_656,Cardiopharynx schoutedeni,97.674,000000010_U07243.1_Cardiopharynx_schoutedeni_,97.674
ASV_655,,,,,ASV_655,Petrochromis famula,99.483,Petrochromis_famula_IYA7,99.005
ASV_654,Neolamprologus, sp,"longior, leleupi, obscurus? unclear",,ASV_654,Neolamprologus leleupi,97.416,Neolamprologus_longior_KEH3,97.512
ASV_652,Bathybates,ferox,no species ambiguity; single ASV,,ASV_652,Bathybates ferox,100,000003745_AY663736.1_Bathybates_ferox__000003746_AY663737.1_Bathybates_ferox_,100
ASV_651,Neolamprologus,niger,"seven ASVs, one single genbank sequence",,ASV_651,Neolamprologus niger,98.966,000003989_AY740391.1_Neolamprologus_niger_,98.966
ASV_650,Altolamprologus,compressiceps,Clear; 2 ASVs. There was another clade with A compressiceps reference but this one contains two references and is sister to A. calvus so seems more legit,,ASV_650,Altolamprologus compressiceps,100,000014358_AF398229.1_Altolamprologus_compressiceps__000014372_EF191121.1_Altolamprologus_compressiceps_,99.483
ASV_65,,,,,ASV_65,Petrochromis cf. polyodon SK-2009,99.742,000028660_GQ995767.1_Petrochromis_cf._polyodon_SK-2009_,99.742
ASV_648,Lamprologus,lemairii,clearly linked to two references with this ID; three ASVs,,ASV_648,Lamprologus lemairii,99.742,000002128_DQ055056.1_Lamprologus_lemairii__000014344_EF191093.1_Lamprologus_lemairii__000015954_EF462271.1_Lamprologus_lemairii__000026829_EF679247.1_Lamprologus_lemairii_,99.742
ASV_647,,,,,ASV_647,Xenotilapia sima,98.966,Xenotilapia_sima_LBE9,97.761
ASV_646,,,,,ASV_646,Xenotilapia ochrogenys,96.641,Xenotilapia_sp_kilesa_Bel03,96.97
ASV_645,,,,,ASV_645,Callochromis pleurospilus,97.674,Callochromis_melanostigma_KAF4,97.015
ASV_644,,,,,ASV_644,Cyathopharynx furcifer,98.708,000009381_AY337781.1_Cyathopharynx_furcifer_,98.708
ASV_643,,,,,ASV_643,Cardiopharynx schoutedeni,98.708,000000010_U07243.1_Cardiopharynx_schoutedeni_,98.708
ASV_642,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_642,Neolamprologus savoryi,98.45,Telmatochromis_sp_dhonti_twiyu_LHC1,97.512
ASV_641,Oreochromis,tanganicae,clearly distinct clade with 7 ASVs,,ASV_641,Oreochromis tanganicae,99.483,Oreochromis_tanganicae_JAC7,99.502
ASV_640,Lamprologus,callipterus,Clear; 12 ASVs,,ASV_640,Lamprologus callipterus,99.742,Neolamprologus_cancellatus_LJD1,99.254
ASV_64,,,,,ASV_64,Petrochromis sp. 'Kazumbe',99.742,Petrochromis_sp_kazumbae_KEB4,99.751
ASV_639,,,,,ASV_639,Enantiopus melanogenys,98.708,000003839_AY682517.1_Xenotilapia_melanogenys_,98.708
ASV_638,,,,,ASV_638,Cardiopharynx schoutedeni,98.191,000000010_U07243.1_Cardiopharynx_schoutedeni_,98.191
ASV_637,,,,,ASV_637,Petrochromis cf. polyodon SK-2009,98.45,Petrochromis_sp_moshi_yellow_LCF8,97.264
ASV_636,Trematocara,sp,In a clade with four other ASVs and several Trematocara. Unclear what species,,ASV_636,Trematocara marginatum,98.684,Trematocara_variabile_Bel33,99.502
ASV_635,Neolamprologus ,savoryi,"clear, 4 ASVs",,ASV_635,Neolamprologus savoryi,98.191,000015931_EF462247.1_Neolamprologus_savoryi_,98.191
ASV_634,,,,,ASV_634,Cardiopharynx schoutedeni,98.966,000000010_U07243.1_Cardiopharynx_schoutedeni_,98.966
ASV_632,,,Unknown - long branch by itself,,ASV_632,Boulengerochromis microlepis,96.382,000026818_EF679235.1_Boulengerochromis_microlepis_,96.382
ASV_631,Neolamprologus,walteri,There are nearly identical haplotypes also IDd by the Salzburger group as chitamwebwai (?); This is a clear clade including 6 ASVs,,ASV_631,Neolamprologus walteri,99.483,Neolamprologus_chitamwebwai_KHA9,99.502
ASV_630,,,unknown - long branch in Lamprologines,,ASV_630,Lamprologus callipterus,97.158,Neolamprologus_cancellatus_LJD1,97.015
ASV_63,,,,,ASV_63,Grammatotria lemairii,98.191,Grammatotria_lemairii_JDD7,99.751
ASV_629,,,Really unclear -- Julidochromis? Telmatochromis? ,,ASV_629,Neolamprologus brichardi,97.015,Neolamprologus_chitamwebwai_KHA9,97.761
ASV_628,,,,,ASV_628,Callochromis pleurospilus,97.416,Callochromis_melanostigma_KAF4,96.766
ASV_627,Oreochromis,sp,"distinct clade from most O. tanganicae sequences which have ASVs associated with them, so I'd guess this is a different Oreochromis species, and I'd be curious if it was associated with river inflow. There is one sequenced labeled O. malagarasi  these ASVs are closely associated with. There are three ASVs in the group. ",malagarasi,ASV_627,Oreochromis upembae,99.742,Oreochromis_malagarasi_KYH4,99.751
ASV_626,,,,,ASV_626,Cyathopharynx furcifer,99.742,000009381_AY337781.1_Cyathopharynx_furcifer_,99.742
ASV_625,,,,,ASV_625,Gemmatimonas phototrophica,83.721,NO MATCH,NA
ASV_624,,,,,ASV_624,Gnathochromis pfefferi,99.742,Gnathochromis_pfefferi_AWE2,99.005
ASV_623,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_623,Telmatochromis bifrenatus,99.742,Telmatochromis_sp_dhonti_twiyu_LHC1,99.751
ASV_622,Neolamprologus,brichardi,clear; 7 ASVs,,ASV_622,Neolamprologus brichardi,99.483,Neolamprologus_marunguensis_JWH4,98.756
ASV_621,,,,,ASV_621,Lestradea perspicax,99.742,000009365_AY337765.1_Lestradea_perspicax_,99.742
ASV_620,,,,,ASV_620,Xenotilapia flavipinnis,97.674,000009394_AY337794.1_Xenotilapia_flavipinnis_,97.674
ASV_62,,,,,ASV_62,Petrochromis sp. 'Kazumbe',99.742,Petrochromis_sp_kazumbae_KEB4,99.751
ASV_619,,,,,ASV_619,Mastacembelus armatus,87.345,Neolamprologus_bifasciatus_LHF7,80.25
ASV_618,,,,,ASV_618,Cyathopharynx furcifer,99.742,000084987_KM288923.1_Cyathopharynx_furcifer_,99.742
ASV_617,,,,,ASV_617,Tropheus brichardi,99.483,Tropheus_sp_murago_LHD9,99.502
ASV_616,,,,,ASV_616,Cardiopharynx schoutedeni,95.866,000000010_U07243.1_Cardiopharynx_schoutedeni_,95.866
ASV_614,Lepidiolamprologus ,sp,"Clade of several Lepidiolamprologus species -- elongatus, profudicola, attenuatus...and also some Neolamprologus species. I don't know what's going on but it seems like a mess. 10 ASVs in this group. ",,ASV_614,Lepidiolamprologus elongatus,99.483,000000018_U07251.1_Lepidiolamprologus_elongatus__000015958_EF462275.1_Lepidiolamprologus_cf._profundicola_JJD-2007__000015959_EF462276.1_Lepidiolamprologus_cf._profundicola_JJD-2007__000026830_EF679248.1_Lepidiolamprologus_elongatus_,99.483
ASV_613,Trematocara,sp,In clade with four other ASVs and several Trematocara spp. If I had to pick a species it would be marginatum,marginatum,ASV_613,Trematocara nigrifrons,99.739,Trematocara_stigmaticum_IUE7,100
ASV_612,,,,,ASV_612,Petrochromis famula,99.742,Petrochromis_famula_IYA7,99.254
ASV_611,Lamprologus,callipterus,Clear; 12 ASVs,,ASV_611,Lamprologus callipterus,99.742,Neolamprologus_cancellatus_LJD1,99.254
ASV_610,,,,,ASV_610,Cichlidae environmental sample,99.483,Limnotilapia_dardennii_AWI5,99.502
ASV_61,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_61,Telmatochromis brichardi,99.483,000026848_EF679266.1_Telmatochromis_dhonti_,99.483
ASV_609,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_609,Telmatochromis bifrenatus,99.742,Telmatochromis_sp_dhonti_twiyu_LHC1,99.751
ASV_608,Neolamprologus ,savoryi,"clear, 4 ASVs",,ASV_608,Neolamprologus savoryi,98.45,000054559_JQ950366.1_Neolamprologus_savoryi_,98.45
ASV_607,,,,,ASV_607,Cyathopharynx furcifer,98.966,000009381_AY337781.1_Cyathopharynx_furcifer_,98.966
ASV_606,,,,,ASV_606,Xenotilapia flavipinnis,97.416,000000033_U07269.1_Xenotilapia_flavipinnis_,97.416
ASV_605,,,,,ASV_605,Grammatotria lemairii,96.899,Grammatotria_lemairii_JDD8,99.005
ASV_604,,,,,ASV_604,Callochromis stappersii,99.742,000009375_AY337775.1_Callochromis_stappersii_,99.742
ASV_603,,,,,ASV_603,Cyathopharynx furcifer,96.899,000009381_AY337781.1_Cyathopharynx_furcifer_,96.899
ASV_602,Lamprologus,callipterus,Clear; 12 ASVs,,ASV_602,Lamprologus callipterus,99.483,Neolamprologus_cancellatus_LJD1,99.502
ASV_601,,,"? long branch in Lamprologines by itself, single ASV",,ASV_601,Lamprologus callipterus,98.45,Neolamprologus_cancellatus_LJD1,98
ASV_600,,,,,ASV_600,Petrochromis sp. 'Kazumbe',99.483,Petrochromis_sp_kazumbae_KEB4,99.502
ASV_60,Neolamprologus,brichardi,clear; 7 ASVs,,ASV_60,Neolamprologus brichardi,99.742,Neolamprologus_marunguensis_JWH4,98.507
ASV_6,,,,,ASV_6,Petrochromis sp. 'Kazumbe',99.742,Petrochromis_sp_kazumbae_KEB4,99.751
ASV_599,,,,,ASV_599,Petrochromis orthognathus;Interochromis loocki,99.483,Petrochromis_sp_polyodon_texas_LHB3,98.756
ASV_598,,,,,ASV_598,Xenotilapia leptura,95.607,Xenotilapia_longispinis_KAF6,99.502
ASV_597,,,,,ASV_597,Cardiopharynx schoutedeni,97.416,000000010_U07243.1_Cardiopharynx_schoutedeni_,97.416
ASV_596,,,,,ASV_596,Petrochromis sp. 'Moshi yellow',99.225,Petrochromis_sp_moshi_yellow_LCF8,98.01
ASV_595,,,,,ASV_595,Petrochromis famula,99.742,Petrochromis_famula_IYA7,99.254
ASV_594,Neolamprologus ,gracilis,clear; single ASV,,ASV_594,Neolamprologus sp. 'Palmeri',98.966,Neolamprologus_sp_gracilis_tanzania_LCC6,99.005
ASV_593,Lamprologus,callipterus,Clear; 12 ASVs,,ASV_593,Lamprologus callipterus,99.483,Neolamprologus_cancellatus_LJD1,99.502
ASV_592,,,,,ASV_592,Ophthalmotilapia ventralis,97.158,000009374_AY337774.1_Ophthalmotilapia_ventralis_,97.158
ASV_591,,,,,ASV_591,Lobochilotes labiatus,98.45,Lobochilotes_labiatus_ISE5,97.761
ASV_590,Neolamprologus,mondabu,clear clade with 14 ASVs; one genbank ref of mondabu,,ASV_590,Neolamprologus mondabu,99.483,000015925_EF462241.1_Neolamprologus_mondabu__000015926_EF462242.1_Neolamprologus_mondabu_,99.483
ASV_59,Neolamprologus,toae,clear; 4 ASVs,,ASV_59,Neolamprologus toae,100,Neolamprologus_toae_JZD6,99.502
ASV_589,Bathybates,hornii,no species ambiguity; single ASV,,ASV_589,Bathybates sp.,100,Bathybates_hornii_JDE4,99.254
ASV_588,,,,,ASV_588,Ophthalmotilapia nasuta,97.933,000085019_KM288947.1_Ophthalmotilapia_nasuta_,97.933
ASV_587,,,,,ASV_587,Xenotilapia flavipinnis,97.674,000000033_U07269.1_Xenotilapia_flavipinnis_,97.674
ASV_585,Neolamprologus,walteri,There are nearly identical haplotypes also IDd by the Salzburger group as chitamwebwai (?); This is a clear clade including 6 ASVs,,ASV_585,Neolamprologus walteri,99.742,Neolamprologus_chitamwebwai_KHA9,99.751
ASV_584,Boulengerochromis,microlepis,no species ambiguity; three ASVs,,ASV_584,Boulengerochromis microlepis,100,000026818_EF679235.1_Boulengerochromis_microlepis_,100
ASV_583,,,,,ASV_583,Xenotilapia flavipinnis,98.966,000000033_U07269.1_Xenotilapia_flavipinnis_,98.966
ASV_582,,,,,ASV_582,Lestradea perspicax,97.158,000009365_AY337765.1_Lestradea_perspicax_,97.158
ASV_581,Oreochromis,tanganicae,clearly distinct clade with 7 ASVs,,ASV_581,Oreochromis tanganicae,99.742,Oreochromis_tanganicae_JAC7,99.751
ASV_580,Neolamprologus,mondabu,clear clade with 14 ASVs; one genbank ref of mondabu,,ASV_580,Neolamprologus mondabu,99.483,000015925_EF462241.1_Neolamprologus_mondabu__000015926_EF462242.1_Neolamprologus_mondabu_,99.483
ASV_58,,,,,ASV_58,Petrochromis sp. 'green',100,000054681_JQ755363.1_Petrochromis_sp._'green'_,100
ASV_579,,,,,ASV_579,Cardiopharynx schoutedeni,96.382,000000010_U07243.1_Cardiopharynx_schoutedeni_,96.382
ASV_578,,,,,ASV_578,Lestradea perspicax,98.45,000009365_AY337765.1_Lestradea_perspicax_,98.45
ASV_577,Neolamprologus,furcifer,clear clade with 4 ASVs and two genbank refs,,ASV_577,Neolamprologus furcifer,100,000015933_EF462249.1_Neolamprologus_furcifer__000026834_EF679252.1_Neolamprologus_furcifer__000076558_KJ187231.1_Neolamprologus_furcifer__000076559_KJ187232.1_Neolamprologus_furcifer__000076567_KJ187241.1_Neolamprologus_furcifer__000076568_KJ187242.1_Neolamprologus_furcifer_,100
ASV_576,Neolamprologus,mondabu,clear clade with 14 ASVs; one genbank ref of mondabu,,ASV_576,Neolamprologus mondabu,99.225,000015925_EF462241.1_Neolamprologus_mondabu__000015926_EF462242.1_Neolamprologus_mondabu_,99.225
ASV_575,,,,,ASV_575,Xenotilapia cf. bathyphila,98.191,Xenotilapia_bathyphilus_IVB5,99.254
ASV_574,,,,,ASV_574,Lestradea perspicax,98.191,000009365_AY337765.1_Lestradea_perspicax_,98.191
ASV_573,Neolamprologus,niger,"seven ASVs, one single genbank sequence",,ASV_573,Neolamprologus niger,98.966,000003989_AY740391.1_Neolamprologus_niger_,98.966
ASV_572,,,,,ASV_572,Petrochromis sp. 'Moshi yellow',99.483,Petrochromis_sp_moshi_yellow_LCF8,98.259
ASV_571,Neolamprologus ,savoryi,"clear, 4 ASVs",,ASV_571,Neolamprologus savoryi,97.674,000015931_EF462247.1_Neolamprologus_savoryi_,97.674
ASV_570,,,,,ASV_570,Petrochromis sp. 'Moshi',99.483,Petrochromis_sp_red_LCD5,99.005
ASV_57,,,,,ASV_57,Petrochromis famula,100,Petrochromis_famula_IYA7,99.502
ASV_569,,,,,ASV_569,Xenotilapia cf. bathyphila,97.674,Xenotilapia_bathyphilus_IVB5,98.756
ASV_568,,,,,ASV_568,Xenotilapia flavipinnis,97.158,000009394_AY337794.1_Xenotilapia_flavipinnis_,97.158
ASV_567,,,,,ASV_567,Petrochromis cf. polyodon SK-2009,100,Petrochromis_sp_moshi_yellow_LCF8,99
ASV_566,Lepidiolamprologus ,sp,"Clade of several Lepidiolamprologus species -- elongatus, profudicola, attenuatus...and also some Neolamprologus species. I don't know what's going on but it seems like a mess. 10 ASVs in this group. ",,ASV_566,Lepidiolamprologus kendalli,99.742,000015952_EF462269.1_Lepidiolamprologus_kendalli_,99.742
ASV_565,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_565,Telmatochromis brichardi,99.483,000026848_EF679266.1_Telmatochromis_dhonti_,99.483
ASV_564,,,,,ASV_564,Xenotilapia spiloptera,98.966,Xenotilapia_sp_spilopterus_north_LEA3,99.254
ASV_563,,,,,ASV_563,Cyathopharynx furcifer,97.416,000009381_AY337781.1_Cyathopharynx_furcifer_,97.416
ASV_562,Tanganicodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_562,Eretmodus cyanostictus,99.225,Eretmodus_marksmithi_JXF4,99.254
ASV_561,Neolamprologus,pulcher,two ASVs; one ref from genbank with this ID,,ASV_561,Neolamprologus brichardi,98.756,Neolamprologus_marunguensis_JWH4,99.254
ASV_560,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_560,Telmatochromis bifrenatus,99.742,Telmatochromis_sp_dhonti_twiyu_LHC1,99.751
ASV_56,,,,,ASV_56,Limnotilapia dardennii,99.742,Limnotilapia_dardennii_AWI6,99.502
ASV_559,,,,,ASV_559,Petrochromis sp. 'Moshi yellow',99.225,Petrochromis_sp_moshi_yellow_LCF8,98.01
ASV_558,,,,,ASV_558,Cyathopharynx furcifer,98.45,000009381_AY337781.1_Cyathopharynx_furcifer_,98.45
ASV_557,,,,,ASV_557,Petrochromis famula,99.483,Petrochromis_famula_IYA7,98.259
ASV_556,,,,,ASV_556,Cyathopharynx furcifer,98.966,000009381_AY337781.1_Cyathopharynx_furcifer_,98.966
ASV_554,,,,,ASV_554,Xenotilapia spiloptera,98.966,Xenotilapia_sp_spilopterus_north_LEA3,99.254
ASV_553,,,,,ASV_553,Cyprichromis pavo,99.225,Cyprichromis_pavo_JEB4,99.254
ASV_552,,,,,ASV_552,Petrochromis cf. polyodon SK-2009,95.349,000028660_GQ995767.1_Petrochromis_cf._polyodon_SK-2009_,95.349
ASV_551,Neolamprologus,walteri,There are nearly identical haplotypes also IDd by the Salzburger group as chitamwebwai (?); This is a clear clade including 6 ASVs,,ASV_551,Neolamprologus walteri,99.742,Neolamprologus_chitamwebwai_KHA9,99.751
ASV_550,Julidochromis,marlieri,clear,,ASV_550,Julidochromis marlieri,99.742,Julidochromis_regani_KFF4,99.751
ASV_55,,,,,ASV_55,Lobochilotes labiatus,99.483,Lobochilotes_labiatus_ISE5,98.756
ASV_549,Lamprologus,lemairii,clearly linked to two references with this ID; three ASVs,,ASV_549,Lamprologus lemairii,99.742,Neolamprologus_caudopunctatus_IQA4,98.507
ASV_548,,,,,ASV_548,Aulonocranus dewindti,98.966,000084974_KM288908.1_Aulonocranus_dewindti_,98.966
ASV_547,Oreochromis,tanganicae,clearly distinct clade with 7 ASVs,,ASV_547,Oreochromis tanganicae,99.742,Oreochromis_tanganicae_JAC7,99.751
ASV_546,,,,,ASV_546,Xenotilapia boulengeri,97.933,000033408_HM135111.1_Xenotilapia_boulengeri_,97.933
ASV_545,Bathybates,fasciatus,no species ID ambiguity; six ASVs in this clade,,ASV_545,Bathybates fasciatus,99.742,Bathybates_fasciatus_GPB2,99.502
ASV_544,,,,,ASV_544,Petrochromis sp. 'Kazumbe',99.742,Petrochromis_sp_kazumbae_KEB4,99.751
ASV_543,,,,,ASV_543,Petrochromis famula,99.742,Petrochromis_famula_IYA7,98.507
ASV_542,Chalinochromis ,sp,"three ASVs in large clade of unresolved Chalinochromis, Julidochromis",,ASV_542,Neolamprologus sp. 'ndobnoi',98.966,Julidochromis_sp_unterfels_JWA2,99.254
ASV_541,,,,,ASV_541,Xenotilapia flavipinnis,97.674,000000033_U07269.1_Xenotilapia_flavipinnis_,97.674
ASV_540,,,,,ASV_540,Callochromis pleurospilus,98.191,Callochromis_melanostigma_KAF4,97.015
ASV_54,,,,,ASV_54,Petrochromis sp. 'Moshi yellow',100,Petrochromis_sp_moshi_yellow_LCF8,98.756
ASV_539,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_539,Telmatochromis brichardi,98.966,000026848_EF679266.1_Telmatochromis_dhonti_,98.966
ASV_538,,,,,ASV_538,Cichlidae environmental sample,96.899,Petrochromis_sp_giant_LDC6,97.015
